price,street,beds,baths,sq ft,link
550000,"11805 Hyacinth Dr, Austin, TX 78758",5 beds,3 baths,"2,188",www.redfin.com/TX/Austin/11805-Hyacinth-Dr-78758/home/31926459
1645000,"1003 Blanco St, Austin, TX 78703",3 beds,3 baths,"1,827",www.redfin.com/TX/Austin/1003-Blanco-St-78703/home/31214830
319500,"12702 Acadian Trl, Austin, TX 78727",2 beds,1.5 baths,896,www.redfin.com/TX/Austin/12702-Acadian-Trl-78727/home/31568546
725000,"7805 Pitter Pat Ln, Austin, TX 78736",4 beds,2.5 baths,"2,516",www.redfin.com/TX/Austin/7805-Pitter-Pat-Ln-78736/home/31693183
570000,"1933 Chasewood Dr, Austin, TX 78727",4 beds,2.5 baths,"2,682",www.redfin.com/TX/Austin/1933-Chasewood-Dr-78727/home/31566862
165500,"5300 Guadalupe St #108, Austin, TX 78751",1 bed,1 bath,410,www.redfin.com/TX/Austin/5300-Guadalupe-St-78751/unit-108/home/194583867
1100000,"6802 Pioneer Pl, Austin, TX 78757",4 beds,2.5 baths,"2,128",www.redfin.com/TX/Austin/6802-Pioneer-Pl-78757/home/31478667
1225000,"16308 Lake Loop, Austin, TX 78734",4 beds,4 baths,"3,274",www.redfin.com/TX/Austin/16308-Lake-Loop-78734/home/31305011
1250000,"10204 Sausalito Dr, Austin, TX 78759",4 beds,3.5 baths,"3,179",www.redfin.com/TX/Austin/10204-Sausalito-Dr-78759/home/31315206
495000,"1301 Canon Yeomans Trl, Austin, TX 78748",3 beds,2.5 baths,"1,860",www.redfin.com/TX/Austin/1301-Canon-Yeomans-Trl-78748/home/31832745
935000,"5900 Ventus St, Austin, TX 78721",3 beds,2.5 baths,"1,949",www.redfin.com/TX/Austin/5900-Ventus-St-78721/home/31186814
625000,"905 E 55th 1/2 St, Austin, TX 78751",3 beds,2 baths,"1,304",www.redfin.com/TX/Austin/905-E-55th-1-2-St-78751/home/31441764
525000,"5405 Hunters Gln, Austin, TX 78745",4 beds,2 baths,"1,566",www.redfin.com/TX/Austin/5405-Hunters-Gln-78745/home/31729268
1500000,"7810 Hardy Dr, Austin, TX 78757",4 beds,3.5 baths,"2,922",www.redfin.com/TX/Austin/7810-Hardy-Dr-78757/home/31487392
765000,"4617 Herzog St, Austin, TX 78723",3 beds,3 baths,"1,843",www.redfin.com/TX/Austin/4617-Herzog-St-78723/home/109917517
425000,"9100 Wagtail Dr, Austin, TX 78748",3 beds,2 baths,"1,299",www.redfin.com/TX/Austin/9100-Wagtail-Dr-78748/home/31792690
1295000,"1811 Bluebonnet Ln, Austin, TX 78704",3 beds,2.5 baths,"2,158",www.redfin.com/TX/Austin/1811-Bluebonnet-Ln-78704/home/31063057
449900,"8540 White Ibis Dr, Austin, TX 78729",3 beds,2.5 baths,"1,928",www.redfin.com/TX/Austin/8540-White-Ibis-Dr-78729/home/45104872
385000,"2505 Thornton Road Rd #2303, Austin, TX 78704",2 beds,1 bath,950,www.redfin.com/TX/Austin/2505-Thornton-Rd-78704/unit-2303/home/200251251
385000,"3905 Alpine Autumn Dr, Austin, TX 78744",4 beds,2.5 baths,"2,414",www.redfin.com/TX/Austin/3905-Alpine-Autumn-Dr-78744/home/109917308
32000,"8212 Barton Club Dr Unit 33-11, Austin, TX 78735",3 beds,3.5 baths,"2,660",www.redfin.com/TX/Austin/8212-Barton-Club-Dr-78735/unit-33-11/home/200250794
505000,"7601 Cooper Ln #25, Austin, TX 78745",3 beds,2.5 baths,"1,816",www.redfin.com/TX/Austin/7601-Cooper-Ln-78745/unit-25/home/190875504
349950,"9317 Rowlands Sayle Rd, Austin, TX 78744",3 beds,2.5 baths,"1,681",www.redfin.com/TX/Austin/9317-Rowlands-Sayle-Rd-78744/home/30993678
500000,"1501 W Barton Springs Rd #107, Austin, TX 78704",1 bed,1 bath,903,www.redfin.com/TX/Austin/1501-Barton-Springs-Rd-78704/unit-107/home/31206597
1650000,"2811 Del Curto Rd Unit A, Austin, TX 78704",4 beds,3 baths,"2,299",www.redfin.com/TX/Austin/2811-Del-Curto-Rd-78704/unit-A/home/34206193
329000,"1501 Roseburg Dr, Austin, TX 78754",3 beds,2.5 baths,"1,738",www.redfin.com/TX/Austin/1501-Roseburg-Dr-78754/home/169747996
459900,"10906 Bruneau Trl, Austin, TX 78754",4 beds,2.5 baths,"2,351",www.redfin.com/TX/Austin/10906-Bruneau-Trl-78754/home/109915433
585000,"1904 E 17th St Unit B, Austin, TX 78702",2 beds,2.5 baths,850,www.redfin.com/TX/Austin/1904-E-17th-St-78702/unit-B/home/144003125
